	T cells	CD8 T cells	Cytotoxic lymphocytes	NK cells	B lineage	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts
TCGA-DK-A3IQ-01A	4.630566552	3	3.355134473	1.778602336	3.719336171	8.584239477	4.103516815	6.809842685	9.644082403	17.23434386
TCGA-DK-A3IS-01A	6.064006958	7.011227255	3.431411401	2.648167507	2.826024632	7.027366322	5.263520568	6.640954846	8.727569036	10.50912796
TCGA-DK-A3IT-01A	7.235029366	4.754887502	3.877140849	1.934972533	8.250012698	9.331060975	6.192900819	7.229442305	8.942998895	14.03405112
TCGA-DK-A3IU-01A	9.065299087	9.988684687	7.584780784	5.248058753	11.63001103	10.85414863	7.490091127	7.135600738	9.089630384	14.65194341
TCGA-DK-A3IV-01A	9.119764137	7.54689446	6.271442174	4.446884696	9.551524479	9.805342364	7.889255193	7.967330032	8.38845618	11.32489702
TCGA-DK-A3WW-01A	8.116465629	9.060695932	7.398198208	5.145372251	3.97765949	9.89536346	5.871779428	7.017385492	7.475751332	11.93987487
TCGA-DK-A3WX-01A	7.26331955	7.276124405	6.478207617	7.31308529	4.9528937	9.879233427	5.749786573	9.807770943	9.090016791	14.70461057
TCGA-DK-A3WY-01A	9.775755611	9.548821908	6.162137877	3.537849891	14.19754661	10.64722694	7.825345877	6.711970469	9.299451001	13.90290951
TCGA-DK-A3X1-01A	5.551802155	4.321928095	3.409952089	2.122361147	3.279585867	7.455000342	6.201621126	5.76396821	8.024498942	12.59088991
TCGA-DK-A3X2-01A	4.291575567	5.426264755	2.354835323	1.571528314	3.607623791	7.09578203	3.30828305	5.995179291	7.559509325	11.32449442
TCGA-DK-A6AV-01A	6.410924854	5.209453366	4.147875368	1.811950654	6.685532493	7.393730934	5.981159373	5.886619281	8.322658225	11.49836002
TCGA-DK-A6AW-01A	5.28715078	5.044394119	3.691318342	2.362655504	3.873473402	7.584278474	3.944130098	6.142418514	9.318759194	10.41970199
TCGA-DK-A6B0-01A	4.396536606	5.930737338	3.354443666	1.50960195	1.954634707	6.807451347	5.163168934	7.075891058	8.320756475	9.676916842
TCGA-DK-A6B1-01A	5.800056747	8.082149041	3.094559854	1.049039678	3.568421291	8.161229922	6.312892885	7.927444297	9.789994658	11.82193568
TCGA-DK-A6B2-01A	7.792366122	7.294620749	5.297254339	2.739239733	6.435150602	9.791927475	7.547869359	7.97899399	9.18792384	14.44081876
TCGA-DK-A6B5-01A	6.855480503	7.87036472	4.888768997	2.045790277	4.952560866	9.47859318	7.9911375	7.447970981	8.084774586	13.06679057
TCGA-DK-A6B6-01A	7.025087614	4.584962501	5.668044847	4.740089833	6.111356049	8.316910788	4.600339552	7.154563399	6.795220016	9.247958031
TCGA-DK-AA6L-01A	6.069504877	4.754887502	3.439295958	2.189277614	3.326768239	8.97049692	7.333297689	7.056428992	7.008555536	12.70033302
TCGA-DK-AA6M-01A	6.273282961	4.857980995	4.697788957	3.303039242	4.84547127	9.462901306	7.627020707	6.988691263	7.502114239	12.99285652
TCGA-DK-AA6P-01A	4.93661162	3.169925001	3.357224785	1.693843348	4.081600677	6.496386778	5.411384741	6.641688463	8.216824225	10.73701124
TCGA-DK-AA6Q-01A	6.821876588	7.977279924	6.475922696	4.225337815	3.375533327	9.031426728	6.28546919	6.282966164	6.648834266	10.2917398
TCGA-DK-AA6R-01A	6.32108457	5.169925001	4.370081708	3.314101417	3.815873675	7.610004055	6.756999933	6.577888261	8.077253365	13.1966013
TCGA-DK-AA6S-01A	7.196795685	6	4.624209643	1.905508308	4.350476683	9.100590811	6.598293293	6.088654943	8.160329712	15.30094733
