	Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	otherCells
TCGA-09-1673-01A	0.002517984	0.003514485	0.122322451	0.025080853	0.055592738	0.000380005	1.03E-08	0.790591473
TCGA-09-2044-01B	0.000501464	0.024032267	0.210214367	0.024039981	0.031635804	1.90E-05	1.40E-09	0.70955713
TCGA-09-2045-01A	6.71E-05	0.006597509	0.204683364	0.010427689	0.023608995	0.000495361	1.93E-09	0.75411994
TCGA-09-2048-01A	0.00197384	0.020451598	0.140289709	0.028513597	0.185732872	2.07E-06	1.30E-08	0.623036296
TCGA-09-2051-01A	3.79E-06	0.011383612	0.251045612	0.024542638	0.032998249	0.000560838	2.47E-09	0.67946526
TCGA-09-2053-01C	0.000929198	0.010601808	0.12521931	0.032392535	0.032144015	0.000241014	6.81E-11	0.79847212
TCGA-09-2054-01A	0.001400057	0.004640969	0.208696306	0.036427866	0.106990432	0.000329596	1.41E-09	0.641514774
TCGA-09-2056-01B	0.001402429	0.013189206	0.103200266	0.027342577	0.024097806	0.000227065	2.60E-09	0.830540649
TCGA-10-0927-01A	0.000475616	0.004385661	0.1237371	0.011385293	0.011073154	9.88E-05	3.61E-07	0.848844013
TCGA-10-0928-01A	0.000102801	0.008292516	0.176317382	0.007782265	0.035801084	0.000192003	4.18E-10	0.771511949
TCGA-10-0931-01A	0.000121763	0.027100539	0.113113837	0.005806196	0.023550051	5.02E-05	3.46E-09	0.830257406
TCGA-10-0933-01A	0.001427668	0.006665071	0.099013026	0.011472663	0.014796867	5.66E-05	3.39E-09	0.866568095
TCGA-10-0936-01A	1.16E-05	0.009663682	0.165368355	0.008362334	0.031641048	9.19E-05	5.41E-12	0.784861103
TCGA-10-0937-01A	5.19E-05	0.017443867	0.132360669	0.007415313	0.024253866	1.09E-05	4.50E-11	0.818463553
TCGA-10-0938-01A	0.00059454	0.007356523	0.117122797	0.015286491	0.022847213	7.16E-05	6.73E-10	0.836720877
TCGA-12-0616-01A	0.003005699	0.014147635	0.090772265	0.02420746	0.060825004	0.000263316	1.23E-07	0.806778497
TCGA-12-0618-01A	0.005780694	0.010097054	0.124404454	0.026720425	0.037405928	0.000404938	1.12E-09	0.795186506
TCGA-12-0619-01A	0.001832874	0.011418919	0.129074546	0.017456383	0.053498727	0.000222249	2.09E-09	0.786496301
TCGA-12-0821-01A	0.001507363	0.012155617	0.195449606	0.024908547	0.034538268	0.000211847	1.17E-09	0.731228751
TCGA-12-1597-01B	0.003088224	0.012872246	0.077554016	0.018578547	0.04793708	0.000292737	7.23E-09	0.839677144
TCGA-12-3650-01A	0.003037655	0.019776188	0.088769253	0.030097659	0.055807353	0.000346693	8.48E-09	0.802165191
TCGA-12-3652-01A	0.000865959	0.025226268	0.142041928	0.022972715	0.029542048	0.000203086	1.02E-09	0.779147995
TCGA-12-3653-01A	2.20E-07	0.01452077	0.254616103	0.026468076	0.041861532	0.000171038	4.01E-09	0.662362257
TCGA-12-5295-01A	0.00333944	0.030226077	0.130127077	0.02007052	0.052724462	0.000109844	7.24E-09	0.763402574
TCGA-12-5299-01A	0.004253129	0.010681174	0.114983862	0.02148723	0.043337345	0.000294459	5.47E-09	0.804962795
TCGA-13-0714-01A	9.81E-09	0.012897541	0.079291765	0.003477885	0.014557247	1.00E-05	6.38E-08	0.889765455
TCGA-13-0720-01A	0.000822059	0.005275621	0.112509299	0.010600597	0.010564936	0.000277474	2.44E-09	0.859950012
TCGA-13-0724-01A	3.22E-06	0.027979736	0.113513989	0.010366712	0.03493747	0.000117572	3.10E-09	0.813081293
TCGA-13-0725-01A	0.001100557	0.016881055	0.102226215	0.019140836	0.042448864	2.30E-05	1.17E-08	0.818179463
TCGA-13-0726-01A	0.000189965	0.010149257	0.138367135	0.002852466	0.019858485	0.00016248	2.25E-09	0.82842021
TCGA-13-0727-01A	1.90E-07	0.009048693	0.125716823	0.011716219	0.02411489	0.000302574	3.25E-09	0.829100608
TCGA-13-0730-01A	0.001432691	0.008651725	0.142660136	0.023589404	0.029259795	0.000264877	7.11E-09	0.794141365
TCGA-13-0762-01A	1.19E-06	0.002767532	0.107393543	0.011858114	0.065278189	8.10E-05	5.91E-10	0.812620471
TCGA-13-0765-01A	0.001262262	0.007937457	0.056439576	0.010423354	0.018688627	3.87E-05	3.42E-09	0.905209999
TCGA-13-0766-01A	0.000349198	0.024817053	0.128226862	0.011017704	0.027940475	0.000152151	3.63E-09	0.807496552
TCGA-13-0768-01A	0.001091394	0.012449793	0.115933871	0.035617779	0.046216944	0.00024135	4.05E-10	0.788448868
TCGA-13-0795-01A	9.13E-07	0.007447824	0.071835933	0.0092886	0.049170831	0.000239318	2.95E-10	0.862016581
TCGA-13-0797-01A	0.000240852	0.014783778	0.140263561	0.014439793	0.021411974	0.000174542	9.16E-09	0.80868549
TCGA-13-0800-01A	0.001237261	0.008979306	0.186340532	0.014300835	0.053187111	0.000318891	5.33E-09	0.735636059
TCGA-13-0804-01A	7.26E-08	0.010383495	0.097538277	0.010164014	0.040387305	5.54E-06	8.23E-10	0.841521292
TCGA-13-0883-01A	0.001142265	0.007888244	0.277244696	0.019388902	0.037484164	0.000326881	1.78E-09	0.656524847
TCGA-13-0884-01B	4.06E-05	0.006306426	0.11438922	0.008370591	0.022055227	8.32E-05	1.27E-09	0.848754676
TCGA-13-0885-01A	2.12E-05	0.006247757	0.131559426	0.006421814	0.032699617	2.66E-05	8.39E-10	0.823023604
TCGA-13-0886-01A	0.000326565	0.006738984	0.082416097	0.009299955	0.022765506	0.000105985	3.75E-10	0.878346908
TCGA-13-0887-01A	1.02E-07	0.004480449	0.134384173	0.01135965	0.037405661	0.000193516	4.17E-09	0.812176444
TCGA-13-0888-01A	0.000572676	0.005016162	0.095509106	0.006826181	0.014203712	0.000156004	1.06E-09	0.877716158
TCGA-13-0891-01A	0.000511969	0.00352831	0.063917372	0.025590652	0.010990356	0.000153356	3.77E-10	0.895307985
TCGA-13-0893-01B	2.28E-09	0.00630972	0.306241321	0.01611194	0.032446841	2.36E-05	6.26E-10	0.638866559
TCGA-13-0897-01A	1.29E-05	0.015937743	0.21804606	0.005857679	0.036432422	0.000200732	2.05E-09	0.723512499
TCGA-13-0900-01B	1.41E-09	0.009123699	0.12199515	0.00608406	0.014829117	0.000121765	5.47E-09	0.847846202
TCGA-13-0901-01B	0.000258656	0.018360038	0.147263459	0.010144273	0.015145935	4.06E-05	7.94E-09	0.808787
TCGA-13-0905-01B	0.000613955	0.010474905	0.156521336	0.017097119	0.071637974	5.56E-05	6.06E-11	0.743599099
