"","seq1","seq2","seq3","seq4","seq5","seq6","seq7","seq8","seq9"
"PDGFRA",0.0483648088438508,0.0429447852760736,0.0526315789473684,0.0538258575197889,0.0914634146341463,0.0382165605095541,0.040147480540762,0.0362116991643454,0.0517241379310345
"PDGFRB",0.0336250575771534,0.00613496932515337,0.0526315789473684,0.0343007915567282,0.0548780487804878,0.0127388535031847,0.0253994264645637,0.0194986072423398,0.0258620689655172
"PHF6",0.0262551819438047,0.0429447852760736,0.0263157894736842,0.0168865435356201,0.0121951219512195,0.00636942675159236,0.011470708725932,0.00278551532033426,0.021551724137931
"PIK3CA",0.160294795025334,0.122699386503067,0.184210526315789,0.206860158311346,0.134146341463415,0.127388535031847,0.143793527242933,0.0919220055710306,0.219827586206897
"PPM1D",0.0165822201750345,0.00613496932515337,0.0526315789473684,0.012664907651715,0.0121951219512195,0,0.0208930766079476,0.00278551532033426,0.00862068965517241
"PTCH1",0.0497466605251036,0.0429447852760736,0.0657894736842105,0.0432717678100264,0.0365853658536585,0.0318471337579618,0.0389184760344121,0.0334261838440111,0.0344827586206897
"PTEN",0.146015660985721,0.141104294478528,0.184210526315789,0.0765171503957784,0.0792682926829268,0.0254777070063694,0.0741499385497747,0.0306406685236769,0.0991379310344828
"PTPN11",0.018885306310456,0.0184049079754601,0.0263157894736842,0.0195250659630607,0.0426829268292683,0,0.0159770585825481,0.00557103064066852,0.0301724137931034
"RAD51B",0.0147397512666974,0.00613496932515337,0.0131578947368421,0.0100263852242744,0.00609756097560976,0,0.0102417042195821,0.00278551532033426,0.0172413793103448
"RAD51C",0.0115154306771073,0,0,0.0137203166226913,0.0182926829268293,0,0.0118803768947153,0.00278551532033426,0.021551724137931
"RAD51D",0.015660985720866,0.0184049079754601,0.0394736842105263,0.0100263852242744,0.0365853658536585,0.00636942675159236,0.00778369520688243,0.00557103064066852,0.0129310344827586
"RAD54L",0.015660985720866,0.0184049079754601,0.0131578947368421,0.0137203166226913,0.0121951219512195,0.00636942675159236,0.0176157312576813,0.011142061281337,0.0129310344827586
"RAF1",0.0207277752187932,0.0122699386503067,0.0394736842105263,0.0179419525065963,0.0182926829268293,0.0191082802547771,0.0135190495698484,0.00835654596100279,0.00431034482758621
"RARA",0.0165822201750345,0.00613496932515337,0.0131578947368421,0.0168865435356201,0.00609756097560976,0.0127388535031847,0.0135190495698484,0.00835654596100279,0.0172413793103448
"RBM15",0.0239520958083832,0.0122699386503067,0.0394736842105263,0.0242744063324538,0.0304878048780488,0.0191082802547771,0.022941417451864,0.011142061281337,0.0301724137931034
"RELN",0.0976508521418701,0.0674846625766871,0.0789473684210526,0.117150395778364,0.0792682926829268,0.0764331210191083,0.0921753379762393,0.0584958217270195,0.107758620689655
"RET",0.0428374021188392,0.0245398773006135,0.0263157894736842,0.033245382585752,0.0609756097560976,0.0318471337579618,0.0397378123719787,0.0194986072423398,0.0387931034482759
"RHOA",0.0175034546292031,0.0122699386503067,0.0263157894736842,0.0168865435356201,0.0121951219512195,0.0127388535031847,0.0159770585825481,0.0139275766016713,0.0344827586206897
"ROS1",0.0654076462459696,0.0429447852760736,0.0921052631578947,0.0627968337730871,0.0975609756097561,0.0318471337579618,0.0663662433428923,0.0362116991643454,0.0646551724137931
"RUNX1",0.0331644403500691,0.0245398773006135,0.0394736842105263,0.0300791556728232,0.00609756097560976,0.0254777070063694,0.0221220811142974,0.00835654596100279,0.0301724137931034
"SETBP1",0.0594196222938738,0.0306748466257669,0.0657894736842105,0.0612137203166227,0.0609756097560976,0.0254777070063694,0.0413764850471118,0.0222841225626741,0.0387931034482759
"SF3B1",0.037770612620912,0.049079754601227,0.0526315789473684,0.0358839050131926,0.0609756097560976,0.0191082802547771,0.0327734535026628,0.0167130919220056,0.0474137931034483
"SH2B3",0.0133578995854445,0.0184049079754601,0,0.0100263852242744,0,0.0127388535031847,0.00901269971323228,0.00278551532033426,0.00862068965517241
"SMARCB1",0.0179640718562874,0.00613496932515337,0.0263157894736842,0.0158311345646438,0.0182926829268293,0.00636942675159236,0.0122900450634986,0.00557103064066852,0.00862068965517241
"SOCS1",0.00690925840626439,0.00613496932515337,0,0.00474934036939314,0.00609756097560976,0,0.00327734535026628,0,0.00862068965517241
"SRSF2",0.0124366651312759,0.0184049079754601,0.0131578947368421,0.0121372031662269,0.00609756097560976,0,0.00819336337566571,0.011142061281337,0.00862068965517241
"STAG2",0.0405343159834178,0.0368098159509202,0.0394736842105263,0.0437994722955145,0.0487804878048781,0.0318471337579618,0.0426054895534617,0.0250696378830084,0.0732758620689655
"STAT3",0.029940119760479,0,0,0.0284960422163588,0.0426829268292683,0.00636942675159236,0.0204834084391643,0.011142061281337,0.0258620689655172
"STAT5B",0.0211883924458775,0,0.0263157894736842,0.0216358839050132,0.00609756097560976,0,0.0188447357640311,0.011142061281337,0.0301724137931034
"SUZ12",0.0175034546292031,0.0245398773006135,0.0131578947368421,0.012664907651715,0.0304878048780488,0.0127388535031847,0.0131093814010651,0.00557103064066852,0.0172413793103448
"TAL1",0.0170428374021188,0,0.0394736842105263,0.0131926121372032,0.0304878048780488,0,0.0126997132322819,0.00278551532033426,0.00862068965517241
"TCF3",0.0244127130354675,0.0122699386503067,0,0.0163588390501319,0.0304878048780488,0,0.0167963949201147,0.00557103064066852,0.021551724137931
"TCL1A",0.00783049286043298,0.00613496932515337,0.0394736842105263,0.00633245382585752,0,0.00636942675159236,0.00696435886931585,0.00278551532033426,0.00431034482758621
"TCL1B",0.011054813450023,0.00613496932515337,0.0131578947368421,0.00580474934036939,0.00609756097560976,0.0127388535031847,0.00737402703809914,0.00278551532033426,0.0129310344827586
"TET2",0.0502072777521879,0.0368098159509202,0.0394736842105263,0.0511873350923483,0.0731707317073171,0.0254777070063694,0.0389184760344121,0.0194986072423398,0.0301724137931034
"TLX1",0.011054813450023,0.0122699386503067,0,0.0079155672823219,0.00609756097560976,0,0.00819336337566571,0.00278551532033426,0.0129310344827586
"TLX3",0.00690925840626439,0.0184049079754601,0,0.0110817941952507,0.0121951219512195,0.0127388535031847,0.00655469070053257,0.00835654596100279,0.00862068965517241
"TNFAIP3",0.0216490096729618,0.0122699386503067,0.0263157894736842,0.0184696569920844,0.024390243902439,0.0127388535031847,0.0180253994264646,0.0139275766016713,0.021551724137931
"TNFRSF14",0.0184246890833717,0.0122699386503067,0.0131578947368421,0.012664907651715,0.0365853658536585,0.0191082802547771,0.0106513723883654,0.011142061281337,0.00862068965517241
"TP53",0.299861814831875,0.392638036809816,0.394736842105263,0.432189973614776,0.524390243902439,0.471337579617834,0.48381810733306,0.693593314763231,0.478448275862069
"TP63",0.0437586365730078,0.0306748466257669,0.0394736842105263,0.0538258575197889,0.0670731707317073,0.0382165605095541,0.045882834903728,0.0334261838440111,0.0517241379310345
"TSC1",0.0391524643021649,0.0245398773006135,0.0131578947368421,0.0311345646437995,0.0426829268292683,0.0191082802547771,0.02867677181483,0.0278551532033426,0.0387931034482759
"TSC2",0.0386918470750806,0.0245398773006135,0.0789473684210526,0.037467018469657,0.0487804878048781,0.0382165605095541,0.0364604670217124,0.0194986072423398,0.0517241379310345
"TYK2",0.0308613542146476,0.00613496932515337,0.0394736842105263,0.0316622691292876,0.0304878048780488,0.0254777070063694,0.0253994264645637,0.0194986072423398,0.021551724137931
"U2AF1",0.00414555504375864,0,0,0.00263852242744063,0.00609756097560976,0,0.00122900450634986,0,0
"WT1",0.0354675264854906,0.0184049079754601,0.0263157894736842,0.0385224274406332,0.0426829268292683,0.00636942675159236,0.0221220811142974,0.011142061281337,0.0344827586206897
"ZRSR2",0.00829111008751727,0.0122699386503067,0,0.00527704485488127,0.00609756097560976,0.00636942675159236,0.00655469070053257,0.00557103064066852,0.021551724137931
